id	adj.P.Val.SCoV.over.Mock	geneSymbol	logFC.SCoV.over.Mock	P.Value.SCoV.over.Mock	species
NP_076962.2	0.005552253	NUP37	-1.748755396	0.000937408	HOMO SAPIENS
NP_001010.2	0.231515385	RPS15A	-0.711539478	0.153688517	HOMO SAPIENS
NP_036515.4	0.592330509	OSTF1	0.208482512	0.498312368	HOMO SAPIENS
NP_057698.2	0.116812899	TDP2	-0.857205595	0.063946107	HOMO SAPIENS
NP_001135779.1	0.763422923	GTF2H1	-0.127082107	0.689282544	HOMO SAPIENS
NP_002419.1	0.021141093	MMP15	1.841493539	0.006518311	HOMO SAPIENS
NP_001307366.1	0.000846136	USP54	-3.711602634	5.01E-05	HOMO SAPIENS
NP_001007469.1	0.200678694	SMARCB1	-0.804020475	0.12824048	HOMO SAPIENS
NP_003012.1	0.035696611	SGTA	-1.648681668	0.013325953	HOMO SAPIENS
NP_001265199.1	0.95251712	TADA3	-0.036564829	0.931594172	HOMO SAPIENS
NP_001026854.1	0.011518105	SRSF7	-1.731552664	0.002710266	HOMO SAPIENS
NP_003008.1	0.748862064	SRSF3	-0.183547692	0.672923241	HOMO SAPIENS
NP_005645.1	0.002521995	NR2F1	-4.38282758	0.000278764	HOMO SAPIENS
NP_066285.1	0.002970415	NR2F2	-3.729698388	0.000358424	HOMO SAPIENS
NP_598001.1	0.024875217	NEK7	-2.636149471	0.008191838	HOMO SAPIENS
NP_001138473.1	0.030198922	NEK6	-2.359576252	0.010587263	HOMO SAPIENS
NP_689520.2	0.679349914	TRMT61A	0.205400435	0.593594079	HOMO SAPIENS
NP_001091059.1	0.051229428	RPP38	-1.050230652	0.021485873	HOMO SAPIENS
NP_005554.1	0.045254772	STMN1	-1.085586051	0.018327439	HOMO SAPIENS
NP_000147.1	0.231655047	GAMT	-0.892940928	0.153802374	HOMO SAPIENS
NP_001020105.1	0.457294443	WASF1	0.442758851	0.360543027	HOMO SAPIENS
NP_005792.1	0.039934719	EIF1	-1.014561041	0.015513159	HOMO SAPIENS
NP_005866.1	0.208464727	EIF1B	0.515268118	0.134581144	HOMO SAPIENS
NP_001123356.1	0.001316424	TEX264	-3.744302797	9.89E-05	HOMO SAPIENS
NP_001258570.1	0.704040251	MTCH1	0.285994922	0.621465249	HOMO SAPIENS
NP_001077.2	0.002498918	AADAC	-1.857759315	0.000274844	HOMO SAPIENS
NP_997248.2	0.439749775	AADACL2	1.898288308	0.343258496	HOMO SAPIENS
NP_001029366.1	0.047054151	EXOSC9	-0.920068363	0.019313848	HOMO SAPIENS
NP_006011.2	0.169765318	ALKBH1	0.724074258	0.103693822	HOMO SAPIENS
NP_036394.1	0.00651961	HS2ST1	2.421994724	0.001191929	HOMO SAPIENS
NP_060386.1	0.01496929	PIH1D1	-1.288911421	0.0039712	HOMO SAPIENS
NP_001096080.1	0.097099296	TUBGCP5	-1.092460752	0.049985399	HOMO SAPIENS
NP_057367.1	0.531437219	AK6	-0.366854232	0.435588374	HOMO SAPIENS
NP_000036.2	0.00083018	ARG1	-4.442854122	4.81E-05	HOMO SAPIENS
NP_001242936.1	0.856197683	PNPLA8	0.073181687	0.803369129	HOMO SAPIENS
NP_006859.2	0.007226312	RAB31	2.333881121	0.001379173	HOMO SAPIENS
NP_065724.1	0.002450293	RAB22A	2.066497573	0.000266813	HOMO SAPIENS
NP_055489.1	0.816477354	EDEM1	-0.083069444	0.753207067	HOMO SAPIENS
NP_001278357.1	0.325251614	BAX	-0.474146392	0.237008859	HOMO SAPIENS
NP_006850.2	0.113811506	LIAS	-0.569252333	0.061736197	HOMO SAPIENS
NP_060823.3	0.001376586	MIS18BP1	-3.294141086	0.000105292	HOMO SAPIENS
NP_001078.2	0.003363488	AAMP	-2.277441515	0.000437474	HOMO SAPIENS
NP_919268.1	0.000320531	SASS6	-6.120488431	8.22E-06	HOMO SAPIENS
NP_003680.2	0.118354963	AKR7A2	-1.064652701	0.065086588	HOMO SAPIENS
NP_001011.1	0.025885189	RPS16	-0.896996575	0.008635484	HOMO SAPIENS
NP_004611.1	0.262521262	TRAF6	0.704123119	0.179806458	HOMO SAPIENS
NP_036412.1	0.126944562	FTSJ1	-1.310881523	0.071548254	HOMO SAPIENS
NP_803188.1	0.038777805	FTSJ1	1.154210067	0.014894519	HOMO SAPIENS
NP_116189.1	0.013156969	C1orf198	-2.659736347	0.003272644	HOMO SAPIENS
NP_775746.1	0.96059031	DCUN1D3	0.020724799	0.943756307	HOMO SAPIENS
NP_036411.1	0.550422811	ZNF346	0.632513538	0.455118678	HOMO SAPIENS
NP_057040.2	0.080612428	MRPL4	-1.809232709	0.039018593	HOMO SAPIENS
NP_001192183.1	0.977901283	OCLN	-0.01739598	0.968476236	HOMO SAPIENS
NP_001186558.1	0.466908605	MYL6B	0.352644262	0.370177237	HOMO SAPIENS
NP_524147.2	0.0447317	MYL6	1.807232835	0.018062527	HOMO SAPIENS
NP_066299.2	0.437734561	MYL6	1.416982425	0.341365835	HOMO SAPIENS
NP_065185.1	0.015276231	ATP8B2	1.480684932	0.00408398	HOMO SAPIENS
NP_001317378.1	0.925723174	AMDHD2	-0.094329381	0.895051623	HOMO SAPIENS
NP_036606.2	0.000839509	UCK2	-5.684831577	4.93E-05	HOMO SAPIENS
NP_113620.1	0.181534569	UCK1	-0.665640055	0.112870891	HOMO SAPIENS
NP_005709.1	0.761813671	ARPC4	0.18902057	0.687342838	HOMO SAPIENS
NP_001021100.3	0.117509905	TTLL3	-2.060162325	0.064471708	HOMO SAPIENS
NP_001010867.1	0.838083337	IBA57	0.122413961	0.780176338	HOMO SAPIENS
NP_037444.2	0.000757166	HOOK2	5.82608414	4.14E-05	HOMO SAPIENS
NP_006547.1	0.001664137	PMVK	-2.285643846	0.000141053	HOMO SAPIENS
NP_002615.2	0.076584084	PFDN5	-0.982705804	0.036558485	HOMO SAPIENS
NP_001108089.1	0.04092528	MGAT1	-1.531474719	0.01603216	HOMO SAPIENS
NP_074036.1	0.010958237	CBFB	1.602957	0.002522515	HOMO SAPIENS
NP_001746.1	0.07652842	CBFB	0.914883572	0.036510958	HOMO SAPIENS
NP_001307906.1	0.037029109	MAN2A2	1.583173582	0.013988389	HOMO SAPIENS
NP_919288.2	0.86739572	ESPNL	-0.108974537	0.819306163	HOMO SAPIENS
NP_116242.2	0.029316616	MUM1	-2.010348659	0.010154852	HOMO SAPIENS
NP_004081.1	0.118128302	DUSP3	-1.447199418	0.064918812	HOMO SAPIENS
NP_004620.1	0.006970482	FANCG	-3.806094124	0.001309987	HOMO SAPIENS
NP_064536.2	0.010909948	STARD7	-1.88167787	0.002503433	HOMO SAPIENS
NP_065956.1	0.171179807	RDH14	-0.672545462	0.104796712	HOMO SAPIENS
NP_057117.2	0.877593582	RMDN1	0.073765235	0.83274326	HOMO SAPIENS
NP_001273636.1	0.242861011	RMDN1	1.479611541	0.162717922	HOMO SAPIENS
NP_001310446.1	0.000462149	RBP4	-10.9419615	1.65E-05	HOMO SAPIENS
NP_055029.1	0.667769368	IMPA2	0.180894234	0.580366915	HOMO SAPIENS
NP_079106.3	0.014614405	LPCAT1	-2.407063101	0.003829127	HOMO SAPIENS
NP_001129037.1	0.177464204	PUDP	-0.552149487	0.109643592	HOMO SAPIENS
NP_056238.2	0.000752513	AASDHPPT	-2.906294549	4.08E-05	HOMO SAPIENS
NP_001165161.1	0.659759274	GCAT	0.28274768	0.571614329	HOMO SAPIENS
NP_001132931.1	0.85841016	CNST	-0.096069823	0.805993548	HOMO SAPIENS
NP_001026971.1	0.10764584	LIMK2	0.923367063	0.057369849	HOMO SAPIENS
NP_005560.1	0.02230447	LIMK2	3.923473538	0.007033766	HOMO SAPIENS
NP_619634.1	0.968439886	PPP1R14B	0.04723355	0.95417966	HOMO SAPIENS
NP_001135.3	0.016400852	AMFR	1.300152891	0.004548068	HOMO SAPIENS
NP_060481.3	0.007881335	ARGLU1	2.673735201	0.001576842	HOMO SAPIENS
NP_777591.3	0.100553286	GPATCH11	-1.543775138	0.052341675	HOMO SAPIENS
NP_001257313.1	0.091171637	MIGA1	-0.936081001	0.045977078	HOMO SAPIENS
NP_060485.4	0.029361632	CXorf57	-1.069547407	0.010175805	HOMO SAPIENS
NP_004539.1	0.006703058	NDUFB10	-1.40883063	0.001234033	HOMO SAPIENS
NP_803173.1	0.107591952	STX12	-1.354195738	0.057331308	HOMO SAPIENS
NP_065753.2	0.720313941	MYORG	0.236522004	0.640826943	HOMO SAPIENS
NP_115570.1	0.001014669	RPF2	3.133938704	6.74E-05	HOMO SAPIENS
NP_001092692.1	0.031049815	IFT74	1.91186852	0.011018787	HOMO SAPIENS
NP_060909.1	0.114069224	IMPACT	-0.748748281	0.061985353	HOMO SAPIENS
NP_060372.2	0.179783804	HIF1AN	0.654811367	0.111388505	HOMO SAPIENS
NP_612510.1	0.193731064	TECR	-0.630615713	0.122576098	HOMO SAPIENS
NP_872319.1	0.86739572	SPC24	0.091230592	0.81933902	HOMO SAPIENS
NP_061821.1	0.000150637	ERRFI1	11.30497765	1.14E-06	HOMO SAPIENS
NP_002735.3	0.360468614	PRKCZ	-0.414340775	0.26923281	HOMO SAPIENS
NP_113651.4	0.943759327	HSDL1	0.041052009	0.919123039	HOMO SAPIENS
NP_001154818.1	0.000608097	CHFR	3.094308986	2.65E-05	HOMO SAPIENS
NP_001337601.1	0.192980866	KRIT1	-0.504691343	0.121749155	HOMO SAPIENS
NP_056265.2	0.035266323	POT1	0.993970456	0.013082682	HOMO SAPIENS
NP_002667.2	0.644661069	PMM1	0.288922575	0.555281718	HOMO SAPIENS
NP_055098.1	0.008999086	SUCO	2.743812954	0.001915468	HOMO SAPIENS
NP_001196.2	0.073004861	BNIP1	-0.713772439	0.034263508	HOMO SAPIENS
NP_001291438.1	0.144203726	HDHD3	1.087692337	0.084000382	HOMO SAPIENS
NP_001230.1	0.392863959	CCNH	0.589769588	0.299593181	HOMO SAPIENS
NP_005472.2	0.039934719	MED16	1.0156134	0.01551074	HOMO SAPIENS
NP_001182257.1	0.87737132	RAB9A	0.069109915	0.832285517	HOMO SAPIENS
NP_003812.1	0.149069281	RIPK2	-0.71075435	0.087739657	HOMO SAPIENS
NP_068761.4	0.14573866	TRAPPC11	1.261234884	0.085142891	HOMO SAPIENS
NP_004426.2	0.002479247	ENDOG	-2.312575336	0.000272002	HOMO SAPIENS
NP_064533.3	0.000523018	SPIRE1	4.110424504	2.08E-05	HOMO SAPIENS
NP_005495.2	0.001544739	BCAT1	-2.872950192	0.000124357	HOMO SAPIENS
NP_055829.2	0.029700035	RBM34	1.015877452	0.010350012	HOMO SAPIENS
NP_001129206.1	0.011207249	ZNF384	1.95408016	0.002611048	HOMO SAPIENS
NP_001156863.1	0.129279993	ZSCAN12	2.372504563	0.073430942	HOMO SAPIENS
NP_002494.2	0.030713848	NFKBIB	-1.180038973	0.0108603	HOMO SAPIENS
NP_004306.3	0.004072249	ASAH1	-4.350023314	0.000586157	HOMO SAPIENS
NP_001307616.1	0.001085432	PIAS1	-2.969978031	7.37E-05	HOMO SAPIENS
NP_001310980.1	0.219241926	PIAS2	3.241080661	0.143551008	HOMO SAPIENS
NP_001310989.1	0.005717638	PIAS2	-7.951344242	0.000980599	HOMO SAPIENS
NP_005633.2	0.012577366	TAF7	1.428587928	0.00304791	HOMO SAPIENS
NP_037462.1	0.035948486	NME7	-0.886067215	0.013452792	HOMO SAPIENS
NP_079184.2	0.000305227	WDR76	-5.848709701	7.31E-06	HOMO SAPIENS
NP_001161413.1	0.903372017	WDR76	-0.194054424	0.866514835	HOMO SAPIENS
NP_660305.2	0.592733521	GLYCTK	-0.266040322	0.498867817	HOMO SAPIENS
NP_115873.1	0.219629006	GHDC	-0.657603126	0.144013762	HOMO SAPIENS
NP_002785.1	0.181534891	PSMB2	-0.502139217	0.11290423	HOMO SAPIENS
NP_001186709.1	0.03818793	PSMB2	-1.927710939	0.014601062	HOMO SAPIENS
NP_001136019.1	0.018200594	RPUSD3	-1.955971499	0.005256177	HOMO SAPIENS
NP_057034.2	0.00869852	MRPL2	1.500027525	0.001820528	HOMO SAPIENS
NP_000976.1	0.005496112	RPL17	1.485120968	0.000923042	HOMO SAPIENS
NP_001120729.1	0.0093679	SLC39A10	-2.695376377	0.002032443	HOMO SAPIENS
NP_112574.3	0.739981829	ADPGK	0.205759558	0.662621536	HOMO SAPIENS
NP_001002262.1	0.248003539	ZFYVE27	0.783152711	0.167162799	HOMO SAPIENS
NP_001167592.1	0.006392247	ZFYVE27	4.850251459	0.001161643	HOMO SAPIENS
NP_001340502.1	0.211421331	IFT88	-0.514369538	0.137203876	HOMO SAPIENS
NP_008959.3	0.019301919	TRIM31	1.356908521	0.005723981	HOMO SAPIENS
NP_001008661.1	0.627245219	KYAT3	0.143788951	0.536006004	HOMO SAPIENS
NP_001116143.1	0.006776628	KYAT1	-2.10274755	0.001252526	HOMO SAPIENS
NP_001340996.1	0.269193235	ENOSF1	-0.647983055	0.185973311	HOMO SAPIENS
NP_036367.2	0.533372482	SCAP	-0.263023675	0.437661761	HOMO SAPIENS
NP_001004127.2	0.488673061	ALG11	-0.468178556	0.391884038	HOMO SAPIENS
NP_003336.1	0.12901996	UBE2I	-0.808878349	0.073224362	HOMO SAPIENS
NP_001339007.1	0.073525759	CCDC91	1.517576443	0.034593165	HOMO SAPIENS
NP_001349410.1	0.764975188	CENPC	-0.114523447	0.690893527	HOMO SAPIENS
NP_001352.2	0.678186353	DHODH	-0.203669086	0.591878576	HOMO SAPIENS
NP_001098065.1	0.446758878	FAM118A	-0.287023365	0.349830633	HOMO SAPIENS
NP_853553.1	0.812215506	AUP1	-0.267224642	0.747570387	HOMO SAPIENS
NP_001093136.1	0.024790517	PTAR1	-1.301500609	0.008152632	HOMO SAPIENS
NP_004674.1	0.00472305	RGN	2.017723031	0.00073803	HOMO SAPIENS
NP_060650.2	0.688311653	DHX32	-0.193945816	0.603811911	HOMO SAPIENS
NP_006867.1	0.000150637	B4GAT1	-6.795949905	1.11E-06	HOMO SAPIENS
NP_001036100.1	0.80639798	NGDN	-0.108196175	0.740670215	HOMO SAPIENS
NP_937872.1	0.021697438	RGS12	-1.029009524	0.006765275	HOMO SAPIENS
NP_064711.1	0.276262557	PDXP	-0.680002631	0.192193612	HOMO SAPIENS
NP_000971.1	0.146427396	RPL18A	-0.461236907	0.085698776	HOMO SAPIENS
NP_954699.1	0.307307559	RPE	-0.636124329	0.220635383	HOMO SAPIENS
NP_001854.1	0.013304824	COX6B1	-1.668888869	0.0033246	HOMO SAPIENS
NP_060611.2	0.285423711	MRPS10	-0.756287232	0.200427125	HOMO SAPIENS
NP_001434.1	0.003056881	FABP1	-1.935461704	0.000375535	HOMO SAPIENS
NP_006629.2	0.531480895	RPP40	0.280444745	0.435769704	HOMO SAPIENS
NP_002446.3	0.018340846	MTX1	-1.507114281	0.00531493	HOMO SAPIENS
NP_055482.2	0.086699369	VGLL4	0.927780453	0.043104369	HOMO SAPIENS
NP_001121691.1	0.000443767	VGLL4	3.931938588	1.54E-05	HOMO SAPIENS
NP_115721.1	0.600564917	PYM1	-0.271493681	0.506884245	HOMO SAPIENS
NP_001137325.1	0.534874206	PYM1	0.275039479	0.439040136	HOMO SAPIENS
NP_001034937.1	0.01890007	GPX4	1.87713154	0.005565136	HOMO SAPIENS
NP_001034936.1	0.902004477	GPX4	0.096505939	0.8649561	HOMO SAPIENS
NP_054895.1	0.000154563	UBE2T	-5.900377855	1.57E-06	HOMO SAPIENS
NP_000428.2	0.031920169	PAFAH2	1.467908222	0.011441265	HOMO SAPIENS
NP_000323.2	0.242800976	ATXN1	-0.718989111	0.162576484	HOMO SAPIENS
NP_001163931.1	0.317663314	CDK16	0.359847063	0.230158031	HOMO SAPIENS
NP_002586.2	0.070961977	CDK17	0.777635065	0.033065069	HOMO SAPIENS
NP_002587.2	0.015542765	CDK18	-4.287186513	0.004187864	HOMO SAPIENS
NP_057001.1	0.068776772	GSTK1	-0.689110674	0.031839703	HOMO SAPIENS
NP_775745.1	0.000476436	NTAN1	10.13588263	1.74E-05	HOMO SAPIENS
NP_001128530.1	0.000515334	COCH	-11.888863	1.97E-05	HOMO SAPIENS
NP_001299620.1	0.059844814	TRIT1	-1.401527274	0.026392956	HOMO SAPIENS
NP_542389.1	0.079482863	ACY3	-0.840108823	0.038363032	HOMO SAPIENS
NP_057665.2	0.36706281	ECSIT	0.479167245	0.275799658	HOMO SAPIENS
NP_001008226.1	0.05748446	CNOT4	-0.842726268	0.025016968	HOMO SAPIENS
NP_079517.1	0.004123345	UBXN6	1.846712027	0.000597275	HOMO SAPIENS
NP_000703.2	0.636214501	BLVRA	-0.184986302	0.54556729	HOMO SAPIENS
NP_060259.4	0.001762157	SEMA4C	-3.318907324	0.000158298	HOMO SAPIENS
NP_036465.2	0.859470264	MYCBP	-0.149306204	0.8076165	HOMO SAPIENS
NP_001268.2	0.000677966	CHKA	-4.119261515	3.26E-05	HOMO SAPIENS
NP_001265551.1	0.67849293	RAD17	0.164216891	0.592287914	HOMO SAPIENS
NP_001288762.1	0.698192038	MEMO1	-0.140612198	0.615068844	HOMO SAPIENS
NP_001164041.1	0.136250926	CXorf56	-1.146442292	0.078198779	HOMO SAPIENS
NP_001230808.1	0.202171193	TRA2B	0.480826158	0.129454428	HOMO SAPIENS
NP_001269686.1	0.800399918	TRA2A	0.224419958	0.733188534	HOMO SAPIENS
NP_112181.3	0.000751378	FAM83D	-5.640072546	4.03E-05	HOMO SAPIENS
NP_076943.1	0.396908192	TRIR	0.395302077	0.303151492	HOMO SAPIENS
NP_000995.1	0.208898101	RPLP2	-0.816872345	0.135084199	HOMO SAPIENS
NP_000994.1	0.55505797	RPLP1	-0.297528847	0.45991386	HOMO SAPIENS
NP_001310481.1	0.001610748	TRADD	3.294035812	0.000133641	HOMO SAPIENS
NP_001074930.1	0.80191502	JMJD6	-0.166219494	0.734885635	HOMO SAPIENS
NP_001336953.1	0.158072843	NDUFAF7	-0.710952766	0.094806193	HOMO SAPIENS
NP_008839.2	0.104647487	RAC1	-0.7823046	0.05514147	HOMO SAPIENS
NP_001656.2	0.32143064	RHOG	0.628965237	0.233591708	HOMO SAPIENS
NP_001034891.1	0.506606823	CDC42	0.284357526	0.410196159	HOMO SAPIENS
NP_631918.3	0.631323123	DAGLB	0.181826168	0.540162738	HOMO SAPIENS
NP_689633.1	0.056480465	CARNMT1	1.031399498	0.02446662	HOMO SAPIENS
NP_060302.1	0.940937608	FAM206A	0.033345871	0.915258497	HOMO SAPIENS
NP_005116.1	0.803804011	CCS	-0.094944653	0.737754051	HOMO SAPIENS
NP_998766.1	0.143705649	TMED8	1.042111713	0.083670896	HOMO SAPIENS
NP_003103.2	0.128267321	SP4	1.3077193	0.072630705	HOMO SAPIENS
NP_005774.2	0.002310966	TXNDC9	-2.989315234	0.000241938	HOMO SAPIENS
NP_078816.2	0.043038075	MRPL24	-1.320211511	0.017170448	HOMO SAPIENS
NP_001008707.1	0.058883735	EML1	1.227886178	0.025846284	HOMO SAPIENS
NP_001012772.1	0.000255041	NHLRC3	-4.149326682	5.11E-06	HOMO SAPIENS
NP_003912.1	0.113034481	BCL10	0.802334888	0.06116637	HOMO SAPIENS
NP_060308.1	0.510692318	NHP2	-0.2988824	0.413970288	HOMO SAPIENS
NP_001350621.1	0.739343381	SYNE3	-0.139933469	0.661872936	HOMO SAPIENS
NP_001701.2	0.000346406	CFB	7.217492425	9.45E-06	HOMO SAPIENS
NP_001119809.1	0.001552493	TUFT1	4.309700898	0.000125548	HOMO SAPIENS
NP_001182555.1	0.362692585	MLLT10	0.57520691	0.27129114	HOMO SAPIENS
NP_001091872.1	0.743494218	ZBTB21	0.228690302	0.666412284	HOMO SAPIENS
NP_001091873.1	0.079998391	ZBTB21	-2.57625524	0.038684873	HOMO SAPIENS
NP_005925.2	0.485191205	MLLT1	-0.304049082	0.388161821	HOMO SAPIENS
NP_002563.1	0.308097344	PAFAH1B2	0.475202273	0.221483633	HOMO SAPIENS
NP_001290380.1	0.004584333	KLHL36	3.682643084	0.000706735	HOMO SAPIENS
NP_003125.3	0.013430741	SRP14	-1.550421655	0.003369944	HOMO SAPIENS
NP_003249.3	0.000140232	TK1	-8.388463817	6.87E-07	HOMO SAPIENS
NP_001001974.1	0.000908983	PLEKHA1	3.686367159	5.63E-05	HOMO SAPIENS
NP_001129224.1	0.000949133	ECD	-3.529132367	6.07E-05	HOMO SAPIENS
NP_008987.2	0.171695624	CLASRP	0.791706624	0.105186293	HOMO SAPIENS
NP_065726.1	0.052421737	SPC25	-2.185450011	0.022126075	HOMO SAPIENS
NP_005430.1	0.079628722	MLF2	-1.401822734	0.038455236	HOMO SAPIENS
NP_009172.2	0.90727969	SNF8	-0.071014842	0.871505244	HOMO SAPIENS
NP_056091.1	0.000968648	USP22	-5.328014608	6.31E-05	HOMO SAPIENS
NP_001138545.1	0.88204556	USP27X	-0.088762434	0.838973784	HOMO SAPIENS
NP_054742.2	0.819630118	WDR37	0.129943701	0.757488382	HOMO SAPIENS
NP_002577.2	0.110293791	PBX2	-0.792904621	0.05929449	HOMO SAPIENS
NP_001191890.1	0.734393208	PBX1	-0.309733789	0.656234895	HOMO SAPIENS
NP_001128250.1	0.947832611	PBX3	0.054163658	0.924474195	HOMO SAPIENS
NP_057097.2	0.499628745	NDUFAF1	-0.335547001	0.403497183	HOMO SAPIENS
NP_001171753.1	0.243636098	PRMT7	0.585228428	0.163491474	HOMO SAPIENS
NP_001015892.1	0.239629646	TAF9	-0.364080691	0.160124921	HOMO SAPIENS
NP_057059.2	0.138663472	TAF9B	-1.229844213	0.079937795	HOMO SAPIENS
NP_690866.1	0.117486603	TIPRL	-1.106049299	0.064437477	HOMO SAPIENS
NP_000217.2	0.171179807	KRT9	-12.16452101	0.10480779	HOMO SAPIENS
NP_079111.1	0.000785589	GGNBP2	-4.049216887	4.49E-05	HOMO SAPIENS
NP_001009566.1	0.005143471	CLSTN1	-3.672847686	0.000831425	HOMO SAPIENS
NP_054765.1	0.012567021	MRPS18B	-2.736602255	0.003044256	HOMO SAPIENS
NP_001017405.1	0.003217167	MAEA	-2.258507794	0.000404936	HOMO SAPIENS
NP_078887.2	0.63314219	ICE2	-0.438890619	0.542065877	HOMO SAPIENS
NP_071439.3	0.503377581	DUS1L	0.297712714	0.406891637	HOMO SAPIENS
NP_006727.2	0.284314532	DNAJB2	-0.469735228	0.199378652	HOMO SAPIENS
NP_490647.1	0.108434629	DNAJB6	-0.613595254	0.057968385	HOMO SAPIENS
NP_078832.1	0.096494914	FAM118B	-1.18727371	0.049550966	HOMO SAPIENS
NP_775782.2	0.008161042	FAM117B	2.90262522	0.001658131	HOMO SAPIENS
NP_612435.1	0.208823484	GLCCI1	-0.455867065	0.134984293	HOMO SAPIENS
NP_071926.4	0.000624142	ARAP3	5.141424982	2.73E-05	HOMO SAPIENS
NP_001258349.1	0.747711998	TTC19	0.130137209	0.671526319	HOMO SAPIENS
NP_056997.1	0.71441059	TXNDC12	-0.179793391	0.633684019	HOMO SAPIENS
NP_001139110.2	0.011161378	GPSM1	1.618574966	0.00259067	HOMO SAPIENS
NP_001307967.1	0.860760085	GPSM2	0.233378255	0.80984985	HOMO SAPIENS
NP_004283.2	0.165869179	RIN1	-0.868434227	0.100784148	HOMO SAPIENS
NP_006501.1	0.017116789	TRIM27	-1.756344153	0.004833821	HOMO SAPIENS
NP_067076.2	0.45272938	TRIM39	0.977752603	0.355913745	HOMO SAPIENS
NP_005054.3	0.000853117	SCD	-7.1935062	5.10E-05	HOMO SAPIENS
NP_775858.2	0.019240057	RCOR2	1.814248538	0.005699435	HOMO SAPIENS
NP_060692.3	0.045647709	PARVA	1.998173597	0.018549069	HOMO SAPIENS
NP_037459.2	0.285882852	PARVB	-0.624438659	0.20087801	HOMO SAPIENS
NP_073581.2	0.488169999	C16orf58	0.35241476	0.391257828	HOMO SAPIENS
NP_001123500.1	0.014415092	CLK3	2.624710884	0.003753766	HOMO SAPIENS
NP_000691.1	0.106555527	ANXA1	0.868574715	0.056623428	HOMO SAPIENS
NP_001131026.1	0.311917691	MCTS1	-0.455870014	0.225027148	HOMO SAPIENS
NP_001092755.1	0.187704319	PTMA	0.521369592	0.117734947	HOMO SAPIENS
NP_001156956.1	0.636906352	DCAF11	0.301560069	0.546379668	HOMO SAPIENS
NP_000091.1	0.009942315	CSTB	-3.187370516	0.002198816	HOMO SAPIENS
NP_085139.2	0.03220694	EEPD1	1.778549011	0.011582269	HOMO SAPIENS
NP_056153.2	0.006593673	ASXL1	3.807765102	0.001207877	HOMO SAPIENS
NP_689478.1	0.740579678	BTF3L4	-0.280260275	0.66345286	HOMO SAPIENS
NP_055321.1	0.195469318	TOR1B	0.661254493	0.123961375	HOMO SAPIENS
NP_060631.2	0.13663631	NADSYN1	0.693746026	0.07848232	HOMO SAPIENS
NP_054753.1	0.065904062	ASF1A	0.862701336	0.030130837	HOMO SAPIENS
NP_001070862.1	0.041362007	DPH5	-1.588130775	0.016271472	HOMO SAPIENS
NP_001073981.1	0.000515334	BICC1	-3.687635529	1.98E-05	HOMO SAPIENS
NP_075388.2	0.074223943	RSRC2	0.957221144	0.03501858	HOMO SAPIENS
NP_060988.3	0.000250124	MCM10	-5.361102365	4.64E-06	HOMO SAPIENS
NP_000472.2	0.941962295	AMT	-0.034037913	0.91677108	HOMO SAPIENS
NP_001138778.1	0.080235256	CDK6	-0.933449743	0.038814062	HOMO SAPIENS
NP_932332.1	0.363994647	GNPNAT1	0.44428376	0.272829869	HOMO SAPIENS
NP_114172.1	0.000830595	CCNB1	-5.240142766	4.83E-05	HOMO SAPIENS
NP_001121361.1	0.090371152	SPG21	-0.683496577	0.045408287	HOMO SAPIENS
NP_002938.1	0.873458602	RPA3	0.120332938	0.827696897	HOMO SAPIENS
NP_001689.1	0.193089966	AUH	-0.503213441	0.121853233	HOMO SAPIENS
NP_001172023.1	0.035266323	NIT1	1.049134799	0.01307424	HOMO SAPIENS
NP_004302.1	0.058855669	ARL3	-0.760659916	0.02582322	HOMO SAPIENS
NP_001189488.1	0.757317285	CHURC1-FNTB	-0.203073011	0.682249142	HOMO SAPIENS
NP_002019.1	0.024396755	FNTB	1.538123525	0.007947428	HOMO SAPIENS
NP_001190992.1	0.09559335	CHURC1	2.128475206	0.048954283	HOMO SAPIENS
NP_001070914.1	0.199273489	TSEN34	0.901395336	0.127010476	HOMO SAPIENS
NP_000300.1	0.418287223	PPOX	0.373756546	0.322687442	HOMO SAPIENS
NP_001317599.1	0.456483944	OXNAD1	-0.227766658	0.359779012	HOMO SAPIENS
NP_001275650.1	0.435714545	B3GAT3	-0.308933578	0.339277584	HOMO SAPIENS
NP_057517.1	0.493734963	GLTP	-0.391579377	0.397449306	HOMO SAPIENS
NP_001093634.1	0.001803711	PHACTR2	2.011281106	0.000162986	HOMO SAPIENS
NP_443730.1	0.102148703	GNB1L	-0.90340803	0.053430101	HOMO SAPIENS
NP_002787.2	0.965178731	PSMB4	-0.028804949	0.949761948	HOMO SAPIENS
NP_064543.3	0.866373711	EXOSC5	-0.06618799	0.817899169	HOMO SAPIENS
NP_001172110.1	0.492071717	PFDN6	-0.448912911	0.395597634	HOMO SAPIENS
NP_116172.2	0.028165554	CBR4	1.07745038	0.009617318	HOMO SAPIENS
NP_005783.2	0.106416431	MPHOSPH6	1.204085212	0.05651066	HOMO SAPIENS
NP_055037.1	0.000405855	NDUFA8	-4.990181292	1.37E-05	HOMO SAPIENS
NP_001186391.1	0.00122201	PDCD2	-3.049659436	8.87E-05	HOMO SAPIENS
NP_003754.2	0.11752611	STX16	1.059606689	0.064491327	HOMO SAPIENS
NP_001273067.1	0.532818545	SMPDL3A	-0.40002748	0.437158261	HOMO SAPIENS
